2025-09-28 07:35:22,363 - freqtrade.loggers - INFO - Enabling colorized output.
2025-09-28 07:35:22,363 - freqtrade.loggers - INFO - Logfile configured
2025-09-28 07:35:22,363 - freqtrade.loggers - INFO - Verbosity set to 0
2025-09-28 07:35:22,364 - freqtrade.configuration.configuration - INFO - Runmode set to dry_run.
2025-09-28 07:35:22,364 - freqtrade.configuration.configuration - WARNING - `force_entry_enable` RPC message enabled.
2025-09-28 07:35:22,364 - freqtrade.configuration.configuration - INFO - Dry run is enabled
2025-09-28 07:35:22,364 - freqtrade.configuration.configuration - INFO - Using DB: "sqlite:///user_data/db/tradesv3_okx.sqlite"
2025-09-28 07:35:22,364 - freqtrade.configuration.configuration - INFO - Using max_open_trades: 1 ...
2025-09-28 07:35:22,375 - freqtrade.configuration.configuration - INFO - Using user-data directory: /freqtrade/user_data ...
2025-09-28 07:35:22,375 - freqtrade.configuration.directory_operations - INFO - Created data directory: None
2025-09-28 07:35:22,376 - freqtrade.configuration.configuration - INFO - Using data directory: /freqtrade/user_data/data/okx ...
2025-09-28 07:35:22,376 - freqtrade.exchange.check_exchange - INFO - Checking exchange...
2025-09-28 07:35:22,382 - freqtrade.exchange.check_exchange - INFO - Exchange "okx" is officially supported by the Freqtrade development team.
2025-09-28 07:35:22,382 - freqtrade.configuration.configuration - INFO - Using pairlist from configuration.
2025-09-28 07:35:22,382 - freqtrade.exchange.exchange - INFO - Instance is running with dry_run enabled
2025-09-28 07:35:22,383 - freqtrade.exchange.exchange - INFO - Using CCXT 4.4.96
2025-09-28 07:35:22,383 - freqtrade.exchange.exchange - INFO - Applying additional ccxt config: {'options': {'defaultType': 'swap'}, 'httpsProxy': 'http://127.0.0.1:7890', 'wsProxy': 'http://127.0.0.1:7890', 'enableRateLimit': True, 'rateLimit': 50}
2025-09-28 07:35:22,388 - freqtrade.exchange.exchange - INFO - Applying additional ccxt config: {'options': {'defaultType': 'swap'}, 'httpsProxy': 'http://127.0.0.1:7890', 'wsProxy': 'http://127.0.0.1:7890', 'enableRateLimit': True, 'rateLimit': 50}
2025-09-28 07:35:22,393 - freqtrade.exchange.exchange - INFO - Applying additional ccxt config: {'options': {'defaultType': 'swap'}, 'httpsProxy': 'http://127.0.0.1:7890', 'wsProxy': 'http://127.0.0.1:7890', 'enableRateLimit': True, 'rateLimit': 50}
2025-09-28 07:35:22,398 - freqtrade.exchange.exchange - INFO - Using Exchange "OKX"
2025-09-28 07:35:23,863 - freqtrade.exchange.exchange - INFO - Initializing leverage_tiers for 233 markets. This will take about a minute.
2025-09-28 07:35:25,146 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for AGLD/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:25,249 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for AI16Z/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:25,341 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for AIXBT/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:25,390 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for ALGO/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:25,558 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for ANIME/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:25,598 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for APE/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:25,706 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for API3/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:25,821 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for APT/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:25,918 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for AR/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:26,046 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for ARB/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:27,096 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for BAND/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:27,225 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for BARD/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:27,302 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for BAT/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:27,409 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for BCH/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:27,486 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for BERA/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:27,631 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for BICO/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:27,703 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for BIGTIME/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:27,809 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for BIO/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:27,891 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for BLUR/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:27,991 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for BNB/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:28,151 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for BNT/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:29,234 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for COMP/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:29,338 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for COOKIE/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:29,391 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for CORE/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
2025-09-28 07:35:29,499 - freqtrade.exchange.common - WARNING - get_market_leverage_tiers() returned exception: "Could not load leverage tiers for CRO/USDT:USDT due to RateLimitExceeded. Message: okx {"msg":"Too Many Requests","code":"50011"}". Retrying still for 4 times.
